Rank,lemma,Frequency_Score,pos,english_definition,example_vi,example_en
1,là,7.26,verb,"to be, is/am/are",Anh ấy là bạn tôi.,He is my friend.
2,và,7.17,conjunction,"and, with",Tôi và bạn đi chợ.,My friend and I go to the market.
3,có,7.13,verb,"to have, there is/are",Nhà tôi có một vườn cây.,My house has a garden.
4,của,7.1,particle,"of, 's (possessive marker)",Đây là sách của anh ấy.,This is his book.
5,được,7.01,particle,"indicates passive, ability, permission",Cửa hàng này được nhiều người biết.,This shop is known by many people.
6,một,7.0,numeral,"one, a/an (indefinite article)",Tôi muốn mua một cốc cà phê.,I want to buy a cup of coffee.
7,các,6.99,determiner,"plural marker, all, the (plural)",Các bạn có khỏe không?,How are you all?
8,không,6.95,adverb,"no, not, un-",Tôi không thích ăn mặn.,I don't like eating salty food.
9,trong,6.94,preposition,"in, inside, within",Điện thoại của tôi ở trong túi.,My phone is in the bag.
10,cho,6.9,preposition,"for, to give, to let",Tôi mua quà cho mẹ.,I buy a gift for mom.
11,người,6.84,noun,"person, people, human",Anh ấy là người Việt Nam.,He is Vietnamese.
12,này,6.82,determiner,"this, these",Cái áo này đẹp quá.,This shirt is very beautiful.
13,với,6.79,preposition,"with, to (accompany)",Tôi đi làm với anh ấy.,I go to work with him.
14,ở,6.78,preposition,"at, in, to be located",Tôi đang ở nhà.,I am at home.
15,đã,6.76,particle,past tense/completion marker,Tôi đã ăn cơm rồi.,I have already eaten.
16,thể,6.73,particle,"can, able to, possibility",Tôi không thể giúp bạn được.,I cannot help you.
17,để,6.72,conjunction,"in order to, so that",Tôi học để đi du học.,I study to go abroad.
18,như,6.65,conjunction,"like, as, such as",Cô ấy hát hay như ca sĩ.,She sings as well as a singer.
19,những,6.63,determiner,"plural marker, some, these/those",Những người này là bạn tôi.,These people are my friends.
20,đến,6.63,verb,"to come, to arrive, until",Khi nào bạn đến nhà tôi?,When will you come to my house?
21,khi,6.61,conjunction,"when, during, at the time",Khi nào bạn về?,When are you coming back?
22,làm,6.61,verb,"to do, to make, to work",Bạn đang làm gì đấy?,What are you doing?
23,sẽ,6.6,particle,indicates future tense,Tối nay tôi sẽ đi chơi.,Tonight I will go out.
24,từ,6.6,preposition,"from, since, a word",Tôi đến từ Hà Nội.,I am from Hanoi.
25,ra,6.59,verb,"to go out, to emerge",Anh ấy vừa đi ra ngoài.,He just went outside.
26,công,6.57,noun,"work, labor, effort",Bỏ nhiều công sức lắm.,It takes a lot of effort.
27,họ,6.57,pronoun,"they, them, their",Họ đang đi đâu đấy?,Where are they going?
28,tại,6.57,preposition,"at, in, by (location/reason)",Anh ấy làm việc tại Hà Nội.,He works in Hanoi.
29,về,6.57,preposition,"about, concerning, to return",Chúng ta nói chuyện về anh ấy.,We talk about him.
30,vào,6.55,verb,"to enter, into, to come in",Bạn vào nhà đi.,Please come into the house.
31,đó,6.55,pronoun,"that, there, that one",Cái đó của ai?,Whose is that?
32,cũng,6.54,adverb,"also, too, as well",Tôi cũng thích ăn phở.,I also like eating pho.
33,thành,6.53,verb,"to become, into, succeed",Anh ấy đã thành công.,He has succeeded.
34,lại,6.52,adverb,"again, back, on the other hand",Anh ấy lại đến rồi.,He has come again.
35,đầu,6.5,noun,"head, beginning, first",Đứng ở hàng đầu.,Stand in the first row.
36,chỉ,6.49,adverb,"only, just, to point",Tôi chỉ có một cái.,I only have one.
37,năm,6.49,noun,year,Năm nay bạn bao nhiêu tuổi?,How old are you this year?
38,sự,6.49,noun prefix,"indicates abstract noun, event",Đây là sự thật.,This is the truth.
39,tôi,6.49,pronoun,"I, me, my",Tôi là người Việt Nam.,I am Vietnamese.
40,bị,6.48,particle,"indicates passive, negative result",Tôi bị ốm rồi.,I got sick.
41,học,6.48,verb,"to learn, study",Em đang học tiếng Việt.,I'm learning Vietnamese.
42,phải,6.48,modal verb,"must, have to, should",Mai anh phải đi làm sớm.,Tomorrow I have to go to work early.
43,chính,6.47,adjective,"main, principal, actual",Đây là lý do chính.,This is the main reason.
44,ngày,6.47,noun,"day, daytime",Hôm nay là ngày mấy?,What day is today?
45,số,6.47,noun,"number, quantity",Cho tôi xin số điện thoại.,Please give me your phone number.
46,ông,6.47,pronoun/noun,"Mr., grandfather, male elder",Ông ấy là bố tôi.,He is my father.
47,động,6.47,verb,"to move, touch, affect",Đừng động vào đồ của tôi.,Don't touch my things.
48,mà,6.46,particle,emphasizes contrast/surprise; 'that',Tôi nói mà anh không nghe.,"I told you, but you didn't listen."
49,nhà,6.46,noun,"house, home, family",Tối nay tôi về nhà.,Tonight I'm going home.
50,thì,6.46,particle,"emphasizes topic/condition, then",Nếu mưa thì ở nhà.,"If it rains, then stay home."
51,trên,6.45,preposition,"on, above, upstairs",Sách ở trên bàn.,The book is on the table.
52,việc,6.45,noun,"job, work, matter",Tôi có nhiều việc phải làm.,I have a lot of work to do.
53,sau,6.41,adverb,"after, behind, later",Gặp lại sau nhé!,See you later!
54,nam,6.4,adjective/noun,"male, south (direction)",Giới tính của bé là nam.,The baby's gender is male.
55,điều,6.4,noun,"thing, matter, article",Đây là điều quan trọng.,This is an important thing.
56,còn,6.39,adverb/particle,"still, remaining, moreover",Em còn yêu anh không?,Do you still love me?
57,chúng,6.38,pronoun,"we, us, they (pluralizer)",Chúng tôi đang chờ.,We are waiting.
58,gia,6.38,verb,"to add, increase",Anh gia thêm đường đi.,Please add more sugar.
59,mình,6.38,pronoun,"I, me, oneself, body",Mình đi đâu thế?,Where are we going?
60,thế,6.38,particle/adverb,"like that, so, thus",Sao lại làm thế?,Why do it like that?
61,nhưng,6.37,conjunction,"but, however, nevertheless","Tôi thích đi, nhưng bận rồi.","I like to go, but I'm busy now."
62,rất,6.37,adverb,"very, extremely, really",Món này rất ngon đấy.,This dish is very delicious.
63,đi,6.37,verb,"to go, to leave",Mình đi học đây.,I'm going to school now.
64,bộ,6.36,noun,"set, collection, department",Mua bộ bàn ghế mới.,Buy a new set of tables and chairs.
65,nhân,6.36,noun,"human, humanity, kindness",Anh ấy có lòng nhân.,He has a kind heart.
66,thực,6.36,adjective,"real, true, actual",Đây là giá trị thực.,This is the real value.
67,bạn,6.35,noun,"friend, you (informal)",Bạn của tôi đây.,This is my friend.
68,hiện,6.35,verb,"appear, present, current",Anh ấy vừa hiện ra.,He just appeared.
69,theo,6.35,preposition,"to follow, according to",Anh cứ theo tôi.,Just follow me.
70,thời,6.35,noun,"time, period, era",Thời này khó làm ăn.,These times are hard for business.
71,anh,6.34,pronoun,"older brother, mister, he/you",Anh ấy là anh trai tôi.,He is my older brother.
72,con,6.34,noun,"child, animal, classifier (animals)",Đây là con chó của tôi.,This is my dog.
73,hơn,6.34,adverb,"more than, better, exceed",Cái này đẹp hơn cái kia.,This one is prettier than that one.
74,nước,6.34,noun,"water, country, liquid",Cho tôi xin cốc nước.,Please give me a glass of water.
75,nhất,6.33,adverb,"most, best, first",Cái này ngon nhất.,This one is the most delicious.
76,sinh,6.33,verb,"to be born, give birth",Cô ấy vừa sinh em bé.,She just gave birth to a baby.
77,đây,6.33,demonstrative pronoun,"here, this, now",Tôi ở ngay đây.,I am right here.
78,nên,6.31,modal verb,"should, ought to, therefore",Bạn nên về nhà sớm.,You should go home early.
79,sử,6.31,noun,"history, to use, manage",Đây là một phần sử Việt.,This is a part of Vietnamese history.
80,cả,6.3,adverb,"all, whole, both, even",Cả nhà đi chơi.,The whole family went out.
81,quốc,6.3,noun,"nation, country, national",Đây là Quốc ngữ của Việt Nam.,This is the national language of Vietnam.
82,trung,6.3,adjective,"middle, center, loyal",Hôm nay là Tết Trung thu.,Today is Mid-Autumn Festival.
83,hành,6.29,verb,"act, perform, carry out",Nó thích hành động nhanh gọn.,It likes to act quickly and neatly.
84,hình,6.29,noun,"shape, form, image",Bạn có cái hình này không?,Do you have this picture?
85,phát,6.29,verb,"emit, develop, distribute",Thành phố này đang phát triển.,This city is developing.
86,vì,6.29,conjunction,"because, for, due to",Tôi mệt vì làm việc nhiều.,I'm tired because I worked a lot.
87,1,6.28,numeral,the number one,Cho tôi 1 cốc nước.,Give me 1 glass of water.
88,nó,6.28,pronoun,"it, he/she (informal)",Con mèo nó ngủ rồi.,"The cat, it's sleeping."
89,cần,6.27,verb,"to need, to require",Bạn cần gì không?,Do you need anything?
90,nhiều,6.27,adjective,"much, many, a lot",Hôm nay có nhiều người đến.,Many people came today.
91,tin,6.27,noun,"news, information, message",Có tin gì mới không?,Is there any new news?
92,đại,6.27,adjective,"big, great, major",Anh ta là đại ca của tôi.,He's my big brother/boss.
93,quan,6.26,noun,"official, mandarin, bureaucrat",Ông ấy là một quan chức cao cấp.,He is a high-ranking official.
94,viên,6.26,noun,"member, employee, pill",Uống một viên thuốc này đi.,Take one of these pills.
95,đang,6.26,particle,marks ongoing action,Tôi đang ăn cơm.,I am eating rice.
96,biết,6.25,verb,"to know, be aware",Bạn có biết đường không?,Do you know the way?
97,ta,6.25,pronoun,"we/us (inclusive), I/me",Đây là chuyện nhà ta.,This is our family matter.
98,độ,6.25,noun,"degree, level, extent",Nhiệt độ hôm nay bao nhiêu?,What is the temperature today?
99,do,6.24,preposition,"caused by, due to",Sự cố này do lỗi anh ta.,This incident is due to his fault.
100,hội,6.24,noun,"association, club, fair",Anh ấy là thành viên hội này.,He is a member of this club.
101,lên,6.24,verb,"to go up, ascend",Anh ấy vừa lên xe buýt.,He just got on the bus.
102,việt,6.24,noun,"Vietnamese person, language",Cô ấy là người Việt.,She is Vietnamese.
103,đồng,6.24,noun,"đồng (currency), same",Cái này bao nhiêu đồng?,How much is this?
104,hay,6.23,conjunction,"or, interesting, good",Bạn thích trà hay cà phê?,Do you like tea or coffee?
105,khác,6.23,adjective,"different, other, else",Cái này khác cái kia.,This one is different from that one.
106,nếu,6.23,conjunction,"if, in case",Nếu mưa thì ở nhà.,"If it rains, stay home."
107,trước,6.23,adverb,"before, in front, first",Tôi đi trước đây.,I'm going first now.
108,bản,6.22,noun,"version, copy, original",Đây là bản mới nhất.,This is the newest version.
109,dân,6.22,noun,"people, citizen, folk",Anh ấy là dân Hà Nội.,He is a Hanoian.
110,kết,6.22,verb,"to tie, form, conclude",Hai người họ kết bạn với nhau.,The two of them became friends.
111,nói,6.22,verb,"to speak, to say",Anh ấy nói rất to.,He speaks very loudly.
112,định,6.22,verb,"to intend, plan, determine",Bạn định đi đâu?,Where are you planning to go?
113,thứ,6.21,noun,"item, thing, ordinal number",Bạn muốn mua thứ gì?,What do you want to buy?
114,cùng,6.2,adverb,"together, with, same",Chúng ta đi cùng nhau.,We go together.
115,cầu,6.2,noun,"bridge, ball, to request",Có một cây cầu rất đẹp.,There is a very beautiful bridge.
116,nào,6.2,interrogative pronoun,"which, any",Bạn thích màu nào?,Which color do you like?
117,xuất,6.2,verb,"to exit, appear, produce",Anh ấy xuất hiện đột ngột.,He appeared suddenly.
118,dụng,6.19,verb,"to use, apply, employ",Anh ấy vận dụng kiến thức rất tốt.,He applies knowledge very well.
119,lý,6.19,noun,"reason, logic, principle",Anh ấy nói có lý.,What he said makes sense.
120,pháp,6.19,noun,"law, method, France",Bạn biết nói tiếng Pháp không?,Do you know how to speak French?
121,2,6.18,numeral,the number two,Tôi có 2 con mèo.,I have 2 cats.
122,cao,6.18,adjective,"tall, high, elevated",Anh ấy cao lắm.,He is very tall.
123,thị,6.18,noun,"market, urban area",Dân làng hay ra thị bán hàng.,Villagers often go to the market to sell goods.
124,trường,6.18,noun,"school, field, arena",Con tôi đang học trường.,My child is studying at school.
125,tên,6.18,noun,"name, title, appellation",Tên bạn là gì?,What is your name?
126,tốt,6.18,adjective,"good, fine, well",Anh ấy rất tốt bụng.,He is very kind.
127,cách,6.17,noun,"way, method, manner",Có cách nào giải quyết không?,Is there a way to solve it?
128,thấy,6.17,verb,"to see, to perceive, to feel",Tôi thấy bạn rồi.,I see you now.
129,văn,6.17,noun,"literature, culture, writing",Tôi rất thích học văn.,I really like studying literature.
130,chủ,6.16,noun,"owner, master, host",Ai là chủ căn nhà này?,Who is the owner of this house?
131,qua,6.16,verb,"to pass, to cross, through",Anh ấy vừa đi qua đây.,He just passed by here.
132,thích,6.16,verb,"to like, to enjoy, to prefer",Tôi thích ăn kem lắm.,I really like eating ice cream.
133,vị,6.16,noun,"taste, flavor; position",Món này có vị rất lạ.,This dish has a very strange taste.
134,mới,6.15,adjective,"new, fresh, recent",Cái áo này mới lắm.,This shirt is very new.
135,phần,6.15,noun,"part, portion, section",Phần này khó quá.,This part is too difficult.
136,tự,6.15,adverb,"self, automatically, by oneself",Anh ấy tự làm hết.,He did it all himself.
137,ý,6.15,noun,"idea, meaning, opinion, will",Bạn có ý kiến gì không?,Do you have any ideas?
138,giải,6.14,verb,"to solve, to explain, to free",Tôi cần giải quyết vấn đề này.,I need to solve this problem.
139,bảo,6.13,verb,"to tell, to say, to protect",Mẹ bảo tôi về sớm.,Mom told me to come home early.
140,cơ,6.13,noun,"chance, opportunity, mechanism",Anh ấy có cơ hội tốt.,He has a good opportunity.
141,em,6.13,pronoun,junior pronoun; you/I,Em đi đâu đấy?,Where are you going? (to a junior/peer)
142,giới,6.13,noun,"realm, limit, gender, circle",Giới trẻ bây giờ thích công nghệ.,Young people nowadays like technology.
143,hợp,6.13,verb,"to suit, fit, be compatible",Cái áo này hợp với em lắm.,This shirt suits you very much.
144,liên,6.13,verb,"to relate, connect, associate",Vấn đề này liên quan đến tôi.,This issue relates to me.
145,bằng,6.12,preposition,"by means of, equal, certificate",Anh ấy cao bằng tôi.,He is as tall as I am.
146,hai,6.12,numeral,two,Tôi có hai quyển sách.,I have two books.
147,ngoài,6.12,preposition,"outside, external, beyond",Tôi đang đợi ở ngoài.,I'm waiting outside.
148,3,6.11,numeral,three,Tôi cần ba cái bút.,I need three pens.
149,cảm,6.11,verb,"to feel, sense, thank",Tôi cảm thấy hơi mệt.,I feel a bit tired.
150,giúp,6.11,verb,"to help, assist",Bạn có thể giúp tôi không?,Can you help me?
151,tới,6.11,verb,"to arrive, to, towards",Anh ấy vừa tới rồi.,He just arrived.
152,vậy,6.11,adverb,"so, thus, like that",Vậy hả? Tôi không biết.,Is that so? I didn't know.
153,tháng,6.1,noun,month,Tháng này tôi rất bận.,I'm very busy this month.
154,trình,6.1,noun,"level, degree, presentation",Trình độ tiếng Anh của cô ấy khá.,Her English level is quite good.
155,ăn,6.1,verb,"to eat, consume",Chúng ta đi ăn thôi.,Let's go eat.
156,điểm,6.1,noun,"point, score, spot",Cô ấy được điểm cao.,She got a high score.
157,chức,6.09,noun,"function, position, office",Chức năng của cái này là gì?,What is the function of this?
158,lớn,6.09,adjective,"big, large, great, adult",Nhà tôi có một cái sân lớn.,My house has a large yard.
